date,setup,kind,strike,entry_prem,qty,cost,net_pnl,mult_on_capital,peak_mult,exit_reason,pnl
2020-08-04,A,PE,14950,35.01,260,9314.02,11720.46,1.258,2.56,EXPIRY,11720.46
2020-08-04,A,PE,14900,26.68,325,8873.51,-2391.23,-0.269,2.0,EXPIRY,-2391.23
2020-08-11,A,PE,15350,83.35,65,5553.14,5849.3,1.053,3.1,TRAIL,5849.3
2020-08-18,A,PE,17550,110.38,65,7346.34,-7298.55,-0.993,1.0,EXPIRY,-7298.55
2020-08-18,A,CE,17900,87.81,65,5849.02,-5285.3,-0.904,1.05,EXPIRY,-5285.3
2020-09-01,A,PE,23950,84.12,65,5604.22,-4090.42,-0.73,1.0,EXPIRY,-4090.42
2020-09-01,A,CE,24150,44.32,195,8844.32,-4434.84,-0.501,1.0,EXPIRY,-4434.84
2020-09-08,A,CE,22850,147.44,65,9804.94,7204.57,0.735,2.18,TRAIL,7204.57
2020-09-08,A,PE,22700,86.03,65,5730.93,5475.17,0.955,3.16,TRAIL,5475.17
2020-09-15,A,CE,20600,110.79,65,7373.54,199.08,0.027,1.39,EXPIRY,199.08
2020-09-15,A,PE,20350,68.04,130,9051.31,-9068.42,-1.002,1.0,EXPIRY,-9068.42
2020-09-15,A,CE,20750,45.3,195,9039.37,-2997.56,-0.332,1.18,EXPIRY,-2997.56
2020-09-22,A,PE,17250,44.92,195,8963.74,8662.49,0.966,2.06,EXPIRY,8662.49
2020-09-29,A,CE,16200,18.46,520,9888.92,10868.27,1.099,2.22,EXPIRY,10868.27
2020-10-06,A,CE,16100,82.17,65,5474.85,7836.46,1.431,7.02,EXPIRY,7836.46
2020-10-06,A,CE,16200,77.11,65,5139.17,8529.57,1.66,6.18,EXPIRY,8529.57
2020-10-06,A,CE,16350,57.16,130,7607.72,13974.4,1.837,5.72,EXPIRY,13974.4
2020-10-06,A,CE,16750,21.49,390,8605.03,-6276.77,-0.729,1.0,EXPIRY,-6276.77
2020-10-13,A,CE,17000,39.02,195,7789.5,-6989.56,-0.897,1.0,EXPIRY,-6989.56
2020-10-13,A,PE,16750,20.07,455,9388.76,6624.27,0.706,2.1,TRAIL,6624.27
2020-10-20,A,CE,18450,103.23,65,6872.0,10069.01,1.465,4.52,EXPIRY,10069.01
2020-10-20,A,CE,18950,47.9,195,9556.83,-8239.01,-0.862,1.0,EXPIRY,-8239.01
2020-10-27,A,CE,17100,70.54,130,9383.01,689.04,0.073,1.77,EXPIRY,689.04
2020-11-03,A,PE,16550,77.62,65,5173.0,6153.87,1.19,5.17,EXPIRY,6153.87
2020-11-03,A,PE,16550,58.33,130,7762.96,14210.36,1.831,6.88,EXPIRY,14210.36
2020-11-10,A,CE,17300,123.25,65,8200.15,8223.46,1.003,2.36,EXPIRY,8223.46
2020-11-10,A,CE,17600,40.36,195,8056.19,986.83,0.122,1.18,EXPIRY,986.83
2020-12-01,A,CE,15350,72.52,130,9645.72,-6106.53,-0.633,1.0,EXPIRY,-6106.53
2020-12-01,A,CE,15250,16.26,585,9834.29,15614.25,1.588,5.83,EXPIRY,15614.25
2020-12-08,A,PE,13650,82.78,65,5515.32,7780.34,1.411,4.96,EXPIRY,7780.34
2020-12-08,A,PE,13450,59.93,130,7975.25,8839.2,1.108,3.58,EXPIRY,8839.2
2020-12-08,A,PE,13250,19.96,455,9338.68,5734.13,0.614,2.03,EXPIRY,5734.13
2020-12-29,A,PE,14000,42.73,195,8527.87,562.85,0.066,1.46,EXPIRY,562.85
2020-12-29,A,PE,13950,17.56,520,9420.63,1961.99,0.208,1.28,EXPIRY,1961.99
2021-01-05,A,CE,13950,15.38,585,9319.17,9931.12,1.066,2.4,TRAIL,9931.12
2021-01-12,A,CE,14750,16.89,520,9072.02,-9069.66,-1.0,1.3,EXPIRY,-9069.66
2021-01-12,A,PE,14500,15.6,585,9447.95,-9442.35,-0.999,1.0,EXPIRY,-9442.35
2021-01-18,C,PE,15100,100.14,65,6667.0,-1331.78,-0.2,1.69,EOD,-1331.78
2021-01-19,A,PE,14900,22.98,390,9186.49,-9190.62,-1.0,1.0,EXPIRY,-9190.62
2021-02-02,A,PE,15850,19.01,455,8906.16,8840.78,0.993,2.45,TRAIL,8840.78
2021-02-09,A,PE,15550,24.7,390,9857.7,-9861.83,-1.0,1.0,EXPIRY,-9861.83
2021-02-22,C,PE,15300,118.48,65,7883.7,7655.41,0.971,2.22,EOD,7655.41
2021-03-01,C,PE,15200,132.32,65,8801.86,-7318.57,-0.831,1.05,EOD,-7318.57
2021-03-02,A,PE,15400,14.2,650,9584.53,-3124.96,-0.326,1.53,EXPIRY,-3124.96
2021-03-09,A,PE,14900,18.27,520,9790.06,9171.1,0.937,2.14,EXPIRY,9171.1
2021-03-09,A,PE,14850,9.46,975,9740.63,-3300.53,-0.339,1.45,EXPIRY,-3300.53
2021-03-16,A,PE,15450,30.92,260,8228.68,-8239.3,-1.001,1.11,EXPIRY,-8239.3
2021-03-16,A,CE,15650,1.92,4095,9939.65,10790.83,1.086,3.37,TRAIL,10790.83
2021-03-30,A,PE,16150,36.34,260,9666.95,19904.43,2.059,4.76,EXPIRY,19904.43
2021-03-30,A,PE,16050,21.68,390,8679.17,11437.9,1.318,3.51,EXPIRY,11437.9
2021-04-05,C,PE,16100,133.69,65,8892.75,3756.95,0.422,1.75,EOD,3756.95
2021-04-06,A,PE,15800,29.32,325,9749.22,-9756.59,-1.001,2.0,EXPIRY,-9756.59
2021-04-06,A,PE,15750,28.14,325,9357.8,-9365.18,-1.001,1.08,EXPIRY,-9365.18
2021-04-13,A,PE,15450,14.34,650,9675.59,-1444.34,-0.149,1.39,EXPIRY,-1444.34
2021-04-20,A,CE,15450,11.04,845,9780.96,13614.85,1.392,4.01,EXPIRY,13614.85
2021-04-27,A,PE,15600,7.67,1170,9588.44,690.95,0.072,1.59,EXPIRY,690.95
2021-05-03,C,PE,15600,122.53,65,8152.38,-5123.88,-0.629,1.22,EOD,-5123.88
2021-05-04,A,CE,15950,28.03,325,9321.32,-5606.87,-0.602,1.0,EXPIRY,-5606.87
2021-05-04,A,PE,15700,15.22,585,9225.51,-9219.91,-0.999,1.0,EXPIRY,-9219.91
2021-05-04,A,CE,15950,4.85,1820,9766.65,11119.2,1.138,2.48,EXPIRY,11119.2
2021-05-11,A,PE,16400,34.06,260,9061.92,-8794.78,-0.971,1.0,EXPIRY,-8794.78
2021-06-01,A,CE,16250,31.03,260,8257.87,6425.09,0.778,1.86,EXPIRY,6425.09
2021-06-22,A,CE,16050,17.93,520,9613.15,12513.46,1.302,3.87,TRAIL,12513.46
2021-07-06,A,PE,15800,6.7,1365,9857.7,-9813.16,-0.995,1.0,EXPIRY,-9813.16
2021-07-13,A,CE,15500,38.76,195,7737.75,-6704.19,-0.866,1.0,EXPIRY,-6704.19
2021-07-20,A,CE,15800,20.89,455,9762.09,176.58,0.018,1.84,EXPIRY,176.58
2021-07-27,A,PE,15200,25.08,390,10006.62,16892.87,1.688,3.61,EXPIRY,16892.87
2021-07-27,A,PE,15150,18.04,520,9670.39,12765.81,1.32,2.45,EXPIRY,12765.81
2021-07-27,A,PE,15100,7.94,1170,9904.53,4241.39,0.428,1.76,EXPIRY,4241.39
2021-08-03,A,PE,14550,32.3,260,8594.88,8544.44,0.994,3.64,EXPIRY,8544.44
2021-08-10,A,CE,13800,30.63,260,8151.72,-2698.05,-0.331,1.0,EXPIRY,-2698.05
2021-08-10,A,CE,13850,3.11,2730,9885.02,149.05,0.015,1.35,EXPIRY,149.05
2021-08-17,A,CE,13900,25.98,325,8641.32,15367.76,1.778,10.0,EXPIRY,15367.76
2021-08-17,A,CE,14100,7.21,1235,9551.36,15877.78,1.662,8.64,EXPIRY,15877.78
2021-08-17,A,CE,14200,5.44,1625,9682.09,-6915.14,-0.714,1.0,EXPIRY,-6915.14
2021-08-24,A,PE,14200,12.71,715,9474.62,-9462.52,-0.999,1.08,EXPIRY,-9462.52
2021-09-07,A,PE,15150,25.14,325,8362.69,6917.79,0.827,2.1,TRAIL,6917.79
2021-09-07,A,CE,15250,24.31,390,9705.51,-8611.59,-0.887,1.07,EXPIRY,-8611.59
2021-09-14,A,PE,15750,20.4,455,9539.01,7684.16,0.806,2.76,TRAIL,7684.16
2021-09-21,A,CE,16400,20.35,455,9516.24,-8544.98,-0.898,1.2,EXPIRY,-8544.98
2021-09-28,A,CE,16500,15.77,585,9547.46,18363.21,1.923,4.28,EXPIRY,18363.21
2021-10-05,A,PE,15800,12.61,715,9403.07,-4765.15,-0.507,1.0,EXPIRY,-4765.15
2021-10-18,D,PE,16500,100.53,65,6692.88,7119.98,1.064,3.13,EOD,7119.98
2021-10-19,A,CE,16350,25.41,325,8452.25,-6915.08,-0.818,1.18,EXPIRY,-6915.08
2021-10-19,A,CE,16400,11.72,780,9561.12,-9499.06,-0.994,1.0,EXPIRY,-9499.06
2021-10-26,A,PE,15250,25.65,325,8531.86,-8539.23,-1.001,1.0,EXPIRY,-8539.23
2021-10-26,A,CE,15500,7.31,1235,9674.94,12518.73,1.294,3.08,EXPIRY,12518.73
2021-11-02,A,PE,15450,42.03,195,8388.56,11797.58,1.406,2.56,EXPIRY,11797.58
2021-11-08,C,PE,14600,109.24,65,7270.71,7315.66,1.006,2.2,EOD,7315.66
2021-11-09,A,CE,14250,7.45,1235,9847.95,27105.28,2.752,4.11,EXPIRY,27105.28
2021-11-16,A,CE,14750,26.01,325,8651.27,6925.35,0.801,2.09,TRAIL,6925.35
2021-11-16,A,PE,14650,9.5,975,9779.65,-9618.3,-0.984,1.0,EXPIRY,-9618.3
2021-11-23,A,PE,14000,33.42,260,8892.09,7621.93,0.857,2.64,TRAIL,7621.93
2021-11-30,A,PE,13500,11.26,845,9966.97,14248.96,1.43,5.32,EXPIRY,14248.96
2021-11-30,A,PE,13400,2.47,3315,9875.26,-9733.38,-0.986,1.0,EXPIRY,-9733.38
2021-12-07,A,CE,13550,14.26,650,9623.56,-9614.71,-0.999,1.78,EXPIRY,-9614.71
2021-12-28,A,CE,13350,6.59,1365,9707.46,-477.46,-0.049,1.11,EXPIRY,-477.46
2022-01-11,A,CE,13650,15.92,585,9635.27,-7854.09,-0.815,1.45,EXPIRY,-7854.09
2022-01-18,A,PE,13600,28.19,325,9374.39,-3635.17,-0.388,1.0,EXPIRY,-3635.17
2022-01-25,A,PE,14100,19.7,455,9220.31,18029.12,1.955,5.66,EXPIRY,18029.12
2022-01-25,A,PE,14000,18.92,455,8865.19,7528.65,0.849,2.16,TRAIL,7528.65
2022-02-01,A,CE,14550,34.27,260,9117.65,8344.83,0.915,2.5,TRAIL,8344.83
2022-02-01,A,CE,14650,15.41,585,9336.73,-9331.13,-0.999,1.47,EXPIRY,-9331.13
2022-02-08,A,CE,15150,12.56,715,9367.3,7428.87,0.793,2.1,TRAIL,7428.87
2022-02-21,D,CE,15350,99.3,65,6611.28,8297.6,1.255,4.19,EOD,8297.6
2022-02-22,A,CE,16200,5.77,1560,9810.87,7905.66,0.806,2.06,EXPIRY,7905.66
2022-03-01,A,CE,15750,10.75,845,9535.75,13066.31,1.37,2.86,TRAIL,13066.31
2022-03-08,A,CE,15700,3.39,2535,9890.87,18126.55,1.833,3.76,TRAIL,18126.55
2022-03-15,A,CE,16200,23.88,390,9537.7,14965.44,1.569,5.41,TRAIL,14965.44
2022-03-15,A,CE,16300,24.18,390,9654.78,-9658.91,-1.0,1.7,EXPIRY,-9658.91
2022-03-15,A,PE,16150,1.43,5135,9940.3,-5708.64,-0.574,1.0,EXPIRY,-5708.64
2022-03-22,A,CE,16450,19.5,455,9129.25,-9130.14,-1.0,1.46,EXPIRY,-9130.14
2022-03-22,A,CE,16450,17.72,520,9503.88,-9501.52,-1.0,1.61,EXPIRY,-9501.52
2022-04-12,A,CE,16200,11.1,845,9831.69,293.89,0.03,1.63,EXPIRY,293.89
2022-04-19,A,CE,16650,26.81,325,8916.63,-8924.01,-1.001,1.0,EXPIRY,-8924.01
2022-04-19,A,PE,16450,22.4,390,8960.15,-8960.38,-1.0,1.0,EXPIRY,-8960.38
2022-05-10,A,CE,16400,16.76,520,9004.37,8143.66,0.904,2.01,EXPIRY,8143.66
2022-05-17,A,PE,15850,16.53,585,9992.34,18933.46,1.895,7.05,EXPIRY,18933.46
2022-05-24,A,CE,15500,28.16,325,9364.44,15060.42,1.608,4.76,EXPIRY,15060.42
2022-05-24,A,CE,15550,29.75,325,9891.85,11943.18,1.207,2.89,EXPIRY,11943.18
2022-05-24,A,CE,15700,4.2,2080,9805.67,-7752.58,-0.791,1.0,EXPIRY,-7752.58
2022-05-30,C,PE,15300,119.06,65,7922.18,4142.42,0.523,1.6,EOD,4142.42
2022-05-31,A,PE,15050,26.83,325,8923.27,-7165.46,-0.803,1.12,EXPIRY,-7165.46
2022-06-07,A,CE,14550,17.61,520,9446.65,8019.0,0.849,2.35,TRAIL,8019.0
2022-06-07,A,CE,14600,12.28,780,9998.19,-9982.85,-0.998,1.24,EXPIRY,-9982.85
2022-06-14,A,PE,14200,13.63,650,9213.8,-7251.57,-0.787,1.0,EXPIRY,-7251.57
2022-06-28,A,CE,13600,7.9,1170,9857.7,-9822.9,-0.996,1.0,EXPIRY,-9822.9
2022-07-05,A,PE,12800,22.0,390,8804.05,9593.5,1.09,2.4,TRAIL,9593.5
2022-07-12,A,CE,12900,23.98,390,9576.73,10398.01,1.086,3.35,EXPIRY,10398.01
2022-07-19,A,PE,13100,4.19,2080,9784.86,33692.55,3.443,5.12,EXPIRY,33692.55
2022-07-26,A,CE,13450,2.03,3900,9896.73,23309.08,2.355,4.45,EXPIRY,23309.08
2022-08-02,A,PE,13600,25.42,325,8455.56,-8024.89,-0.949,1.04,EXPIRY,-8024.89
2022-08-16,A,CE,13650,1.14,6045,9943.56,353.35,0.036,1.94,EXPIRY,353.35
2022-08-23,A,PE,13650,13.25,715,9860.96,-9848.86,-0.999,1.0,EXPIRY,-9848.86
2022-08-23,A,CE,13800,19.23,455,9006.32,8804.99,0.978,2.32,TRAIL,8804.99
2022-08-30,A,PE,12750,13.56,650,9168.28,-9159.43,-0.999,1.9,EXPIRY,-9159.43
2022-08-30,A,CE,12950,11.0,845,9747.13,9492.02,0.974,3.41,EXPIRY,9492.02
2022-08-30,A,CE,13000,3.37,2535,9840.14,-3738.8,-0.38,2.15,EXPIRY,-3738.8
2022-09-06,A,PE,13050,13.62,650,9207.3,11786.64,1.28,4.69,TRAIL,11786.64
2022-09-06,A,PE,12950,8.62,1040,9514.29,-9485.97,-0.997,1.0,EXPIRY,-9485.97
2022-09-13,A,CE,12900,13.99,650,9447.95,-9439.1,-0.999,2.04,EXPIRY,-9439.1
2022-09-20,A,PE,12600,9.08,1040,9992.99,16699.23,1.671,3.21,TRAIL,16699.23
2022-09-20,A,PE,12600,8.28,1105,9731.52,18631.91,1.915,3.52,TRAIL,18631.91
2022-10-04,A,PE,13050,3.85,2275,9926.0,-9018.33,-0.909,1.24,EXPIRY,-9018.33
2022-10-11,A,CE,12300,30.05,325,9991.36,7764.04,0.777,1.86,EXPIRY,7764.04
2022-10-18,A,PE,11950,17.67,520,9477.87,-9475.51,-1.0,1.55,EXPIRY,-9475.51
2022-10-18,A,CE,12150,8.37,1105,9831.04,-9799.47,-0.997,1.15,EXPIRY,-9799.47
2022-10-18,A,PE,12000,1.83,4290,10025.51,5278.19,0.526,2.55,TRAIL,5278.19
2022-11-15,A,PE,12300,14.96,585,9073.32,-9067.71,-0.999,1.32,EXPIRY,-9067.71
2022-11-22,A,PE,12950,3.39,2535,9890.87,-9155.18,-0.926,1.0,EXPIRY,-9155.18
2022-11-29,A,CE,13200,14.24,650,9610.55,15301.16,1.592,8.04,EXPIRY,15301.16
2022-12-06,A,PE,13000,5.97,1495,9702.26,-9651.23,-0.995,1.11,EXPIRY,-9651.23
2022-12-06,A,CE,13200,5.86,1560,9951.36,-6548.42,-0.658,1.0,EXPIRY,-6548.42
2022-12-20,A,CE,13100,6.3,1430,9753.64,20910.24,2.144,9.53,EXPIRY,20910.24
2022-12-20,A,CE,13150,4.34,2015,9782.26,12248.98,1.252,4.18,EXPIRY,12248.98
2022-12-20,A,CE,13150,3.67,2340,9787.46,15781.21,1.612,4.94,EXPIRY,15781.21
2022-12-26,C,PE,12950,102.65,65,6833.52,-4634.98,-0.678,1.04,EOD,-4634.98
2022-12-27,A,PE,13000,15.8,585,9565.02,-9559.42,-0.999,1.0,EXPIRY,-9559.42
2022-12-27,A,CE,13200,15.45,585,9360.14,-6942.33,-0.742,1.0,EXPIRY,-6942.33
2023-01-03,A,PE,12950,4.29,2080,9992.99,-2166.7,-0.217,1.0,EXPIRY,-2166.7
2023-01-31,A,CE,13200,1.05,6435,10004.04,-9706.41,-0.97,1.0,EXPIRY,-9706.41
2023-02-07,A,CE,13200,5.57,1625,9893.48,-9835.95,-0.994,1.0,EXPIRY,-9835.95
2023-02-07,A,CE,13200,2.05,3900,9974.78,-9803.69,-0.983,1.0,EXPIRY,-9803.69
2023-02-14,A,PE,13700,15.29,585,9266.49,-9260.88,-0.999,1.0,EXPIRY,-9260.88
2023-02-21,A,PE,13600,12.75,715,9503.23,-9491.14,-0.999,1.0,EXPIRY,-9491.14
2023-02-21,A,CE,13800,7.69,1170,9611.85,-6831.92,-0.711,1.36,EXPIRY,-6831.92
2023-03-07,A,CE,14100,8.94,1040,9847.3,14508.57,1.473,7.44,EXPIRY,14508.57
2023-03-07,A,CE,14150,5.72,1560,9732.83,20405.45,2.097,3.83,TRAIL,20405.45
2023-03-14,A,CE,14300,2.91,2925,10004.04,14038.69,1.403,3.01,EXPIRY,14038.69
2023-03-21,A,PE,14200,9.34,975,9623.56,-9598.49,-0.997,1.02,EXPIRY,-9598.49
2023-03-28,A,CE,14500,3.36,2535,9814.78,12764.87,1.301,2.81,EXPIRY,12764.87
2023-04-04,A,CE,14400,7.48,1235,9885.02,-9846.97,-0.996,1.54,EXPIRY,-9846.97
2023-04-18,A,CE,15250,8.04,1170,10021.6,29894.04,2.983,21.9,EXPIRY,29894.04
2023-04-18,A,CE,15400,3.13,2730,9939.65,25879.63,2.604,6.23,TRAIL,25879.63
2023-04-25,A,CE,15550,20.65,455,9652.83,-9653.71,-1.0,1.01,EXPIRY,-9653.71
2023-04-28,C,CE,15450,133.31,65,8867.54,-676.1,-0.076,1.24,EOD,-676.1
2023-05-16,A,PE,15350,8.31,1105,9764.7,-9733.13,-0.997,1.0,EXPIRY,-9733.13
2023-05-16,A,CE,15550,7.42,1235,9810.87,30861.34,3.146,4.69,TRAIL,30861.34
2023-05-23,A,CE,15700,4.77,1885,9963.72,11855.98,1.19,6.37,TRAIL,11855.98
2023-06-06,A,CE,16400,16.72,520,8983.56,-8981.2,-1.0,1.35,EXPIRY,-8981.2
2023-07-04,A,PE,16500,20.01,455,9361.45,11407.13,1.219,3.26,TRAIL,11407.13
2023-07-04,A,PE,16450,11.86,780,9670.39,11894.81,1.23,2.66,TRAIL,11894.81
2023-07-04,A,PE,16400,10.92,845,9679.49,-9660.91,-0.998,1.0,EXPIRY,-9660.91
2023-07-04,A,CE,16600,6.97,1300,9740.63,-2807.32,-0.288,1.0,EXPIRY,-2807.32
2023-07-18,A,PE,16600,15.99,585,9676.24,-9670.64,-0.999,1.0,EXPIRY,-9670.64
2023-07-18,A,CE,16800,5.01,1755,9699.66,7543.93,0.778,2.42,EXPIRY,7543.93
2023-07-25,A,CE,17200,14.4,650,9714.61,-9705.77,-0.999,1.12,EXPIRY,-9705.77
2023-08-01,A,PE,17450,9.49,975,9769.9,10406.3,1.065,3.31,TRAIL,10406.3
2023-08-21,C,CE,17500,89.71,65,5975.07,96.63,0.016,1.94,EOD,96.63
2023-08-29,A,CE,18300,8.06,1105,9488.27,-9456.71,-0.997,1.0,EXPIRY,-9456.71
2023-09-05,A,PE,17950,6.32,1430,9782.26,-5651.18,-0.578,1.8,EXPIRY,-5651.18
2023-09-19,A,PE,18300,8.7,1040,9597.54,-9569.22,-0.997,1.0,EXPIRY,-9569.22
2023-09-19,A,CE,18500,2.12,3770,9907.13,-9742.53,-0.983,1.0,EXPIRY,-9742.53
2023-09-26,A,CE,19600,11.27,845,9975.43,-7096.85,-0.711,2.05,EXPIRY,-7096.85
2023-10-03,A,CE,19900,8.27,1105,9720.47,-7416.23,-0.763,1.19,EXPIRY,-7416.23
2023-10-10,A,CE,20550,16.18,585,9787.46,13904.73,1.421,3.56,TRAIL,13904.73
2023-10-10,A,PE,20450,8.19,1105,9632.01,2491.08,0.259,1.41,EXPIRY,2491.08
2023-10-31,A,CE,20750,20.29,455,9488.92,-9489.81,-1.0,1.91,EXPIRY,-9489.81
2023-11-14,A,CE,20700,14.09,650,9512.99,11984.48,1.26,2.63,TRAIL,11984.48
2023-11-14,A,CE,20800,1.03,6500,9974.78,-9673.89,-0.97,1.0,EXPIRY,-9673.89
2023-11-28,A,CE,21650,19.5,455,9129.25,-8834.86,-0.968,1.43,EXPIRY,-8834.86
2023-12-05,A,CE,21700,26.19,325,8710.98,9088.61,1.043,2.36,TRAIL,9088.61
2023-12-26,A,CE,22450,11.14,845,9865.51,7726.42,0.783,1.97,EXPIRY,7726.42
2024-01-02,A,CE,23200,18.32,520,9816.08,-9813.72,-1.0,1.0,EXPIRY,-9813.72
2024-01-23,A,CE,22800,15.2,585,9213.8,-9208.2,-0.999,1.0,EXPIRY,-9208.2
2024-01-30,A,CE,22950,29.28,325,9735.95,10153.28,1.043,2.35,TRAIL,10153.28
2024-02-13,A,PE,22750,27.04,325,8992.93,-9000.3,-1.001,1.02,EXPIRY,-9000.3
2024-02-13,A,CE,22950,8.49,1105,9963.72,8266.49,0.83,2.88,TRAIL,8266.49
2024-02-20,A,PE,22500,11.49,780,9381.61,-9366.27,-0.998,1.2,EXPIRY,-9366.27
2024-02-27,A,CE,22800,15.07,585,9137.71,8004.61,0.876,1.99,EXPIRY,8004.61
2024-02-27,A,CE,22850,4.8,1885,10020.3,721.14,0.072,1.3,EXPIRY,721.14
2024-03-05,A,CE,23400,32.81,260,8730.22,-8740.84,-1.001,1.0,EXPIRY,-8740.84
2024-03-05,A,PE,23250,10.99,845,9738.68,-1477.58,-0.152,1.0,EXPIRY,-1477.58
2024-03-19,A,PE,23200,9.67,975,9945.51,-1743.47,-0.175,1.0,EXPIRY,-1743.47
